"""content""","""contenttype""","""created""","""id""","""language"""
"b'@joaquies Buenos d\xc3\xadas @joaquies, gracias por escribirnos. Lamentamos lo que nos comentas. Para poder gestionar tu c\xe2\x80\xa6 https://t.co/bnfhRmGuHU'","""text/plain""",1577836800,1.22687E+18,"""es"""
"b'@Naperjo @rosatous @elcorteinglesac @elcorteingles Buenos d\xc3\xadas @Naperjo, gracias por escribirnos. Lamentamos lo que\xe2\x80\xa6 https://t.co/Xhr1eutZR8'","""text/plain""",1581342544,1.22687E+18,"""es"""
b'RT @ReasonWhy: \xe2\x80\x9cSomos una gran familia con valores capaces de superar las dificultades que sujan\xe2\x80\x9d. Rosa Tous en esta columna de opini\xc3\xb3n \xf0\x9f\x91\x89\xf0\x9f\x8f\xbc\xe2\x80\xa6',"""text/plain""",1581337609,1.22684E+18,"""es"""
"b'@OrtunoRoy Buenos d\xc3\xadas @OrtunoRoy, gracias por escribirnos. Te informamos que el siguiente v\xc3\xaddeo sobre la t\xc3\xa9cnica d\xe2\x80\xa6 https://t.co/Y4ePqZtmEs'","""text/plain""",1580993238,1.2254E+18,"""es"""
"b'@ErnestoDiazMD Buenos d\xc3\xadas @ErnestoDiazMD, gracias por escribirnos. Lamentamos lo que nos comentas. Para poder gest\xe2\x80\xa6 https://t.co/MAzLtNPcyW'","""text/plain""",1580992499,1.2254E+18,"""es"""
"b'@jasminasg @rosatous Buenos d\xc3\xadas @jasminasg, gracias por escribirnos. Nos consta que nuestro servicio de atenci\xc3\xb3n a\xe2\x80\xa6 https://t.co/00eyBfrjoG'","""text/plain""",1580992211,1.2254E+18,"""es"""
"b'Hace 100 a\xc3\xb1os, una familia dedicada al negocio de la joyer\xc3\xada se propuso algo: que todo el mundo pudiera tener una j\xe2\x80\xa6 https://t.co/R2UStNQlCJ'","""text/plain""",1580915819,1.22508E+18,"""es"""
b'\xf0\x9f\x93\xb8VISTO EN... Plaza Luna de Madrid\n\nReivindicamos nuestra trayectoria y pasi\xc3\xb3n por la artesan\xc3\xada. Nos mueve el amor p\xe2\x80\xa6 https://t.co/rFr3eubRO6',"""text/plain""",1580907247,1.22504E+18,"""es"""
b'No romper con lo que eres.\nNo romper con lo que crees.\nNo romper con lo que haces.\nHoy lanzamos #UnbreakableTOUS pa\xe2\x80\xa6 https://t.co/SB84xHDHFX',"""text/plain""",1580839873,1.22476E+18,"""es"""
b'@ruru13115317 Buenos d\xc3\xadas @ruru13115317. Lamentamos lo que nos comentas. Te recomendamos acudas a tu tienda TOUS m\xc3\xa1\xe2\x80\xa6 https://t.co/GdTGv6uuAu',"""text/plain""",1580804721,1.22461E+18,"""es"""
"b'@PauGomezcaro Dear @PauGomezcaro,we regret to hear this. For any request related with the repair of our products, i\xe2\x80\xa6 https://t.co/Mu2UkbujRt'","""text/plain""",1580804453,1.22461E+18,"""es"""
